SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22018,101106,21801225,10-Apr-19,GSW @ MEM,L,18,0,1,0,0,0,0,0,0,0,1,5,6,1,1,2,5,1,0,-15,1
22018,101106,21801205,7-Apr-19,GSW vs. LAC,W,7,1,1,1,0,0,0,0,0,0,1,2,3,0,1,1,0,3,2,13,1
22018,101106,21801191,5-Apr-19,GSW vs. CLE,W,21,3,6,0.5,0,0,0,0,0,0,2,5,7,0,0,1,0,4,6,15,1
22018,101106,21801164,2-Apr-19,GSW vs. DEN,W,4,2,3,0.667,0,0,0,0,0,0,1,2,3,1,0,0,0,1,4,7,1
22018,101106,21801150,31-Mar-19,GSW vs. CHA,W,11,3,4,0.75,0,0,0,0,0,0,1,7,8,0,0,1,0,2,6,20,1
22018,101106,21801132,29-Mar-19,GSW @ MIN,L,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1
22018,101106,21801118,27-Mar-19,GSW @ MEM,W,7,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,-6,1
22018,101106,21801101,24-Mar-19,GSW vs. DET,W,24,4,5,0.8,0,0,0,0,0,0,0,5,5,3,0,3,0,3,8,0,1
22018,101106,21801079,21-Mar-19,GSW vs. IND,W,9,1,8,0.125,0,0,0,2,2,1,4,3,7,1,0,0,1,2,4,-12,1
22018,101106,21801062,19-Mar-19,GSW @ MIN,W,13,1,4,0.25,0,0,0,0,0,0,2,4,6,3,0,0,1,3,2,-9,1
22018,101106,21801055,18-Mar-19,GSW @ SAS,L,19,3,4,0.75,0,0,0,1,1,1,0,7,7,1,1,0,1,3,7,-2,1
22018,101107,21801159,1-Apr-19,CHA @ UTA,L,24,0,4,0,0,4,0,0,0,0,0,5,5,0,2,1,1,2,0,-21,1
22018,101107,21801150,31-Mar-19,CHA @ GSW,L,21,1,5,0.2,0,1,0,0,0,0,2,2,4,3,0,0,0,1,2,-22,1
22018,101107,21801135,29-Mar-19,CHA @ LAL,L,30,5,11,0.455,3,6,0.5,0,0,0,0,5,5,1,3,1,1,0,13,-17,1
22018,101107,21801107,26-Mar-19,CHA vs. SAS,W,29,4,11,0.364,0,6,0,0,0,0,0,4,4,0,1,1,0,0,8,2,1
22018,101107,21801098,24-Mar-19,CHA @ TOR,W,21,4,6,0.667,2,4,0.5,0,0,0,0,1,1,0,2,0,0,3,10,-2,1
22018,101107,21801087,23-Mar-19,CHA vs. BOS,W,30,4,9,0.444,1,4,0.25,4,4,1,1,2,3,2,1,1,2,1,13,23,1
