PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
203518,Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,1993-08-01T00:00:00, ,Spain,Spain/Spain,,,2,,,Inactive,0,,,,,alex_abrines,2016,2018,N,Y,Y,2013,2,32
203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,1990-10-06T00:00:00,Baylor,USA,Baylor/USA,,,6,,,Inactive,0,,,,,quincy_acy,2012,2018,Y,Y,Y,2012,2,37
1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,1996-05-04T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,6-2,190,1,20,Guard,Active,1610612749,Bucks,MIL,bucks,Milwaukee,jaylen_adams,2018,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,7-0,265,6,12,Center,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,steven_adams,2013,2019,N,Y,Y,2013,1,12
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,2,13,Center-Forward,Active,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2019,N,Y,Y,2017,1,14
1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,1997-02-01T00:00:00,Louisville,South Sudan, South Sudan/South Sudan,6-7,200,1,32,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,6-6,200,1,44,Guard-Forward,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,devaughn_akoon-purcell,2018,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,1985-07-19T00:00:00,Texas,USA,Texas/USA,6-11,260,13,12,Center-Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,lamarcus_aldridge,2006,2019,N,Y,Y,2006,1,2
1628959,Rawle,Alkins,Rawle Alkins,"Alkins, Rawle",R. Alkins,1997-10-29T00:00:00,Arizona,USA,University of Arizona/USA,6-5,225,1,20,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,1995-10-08T00:00:00,Duke,USA,Duke University/USA,6-5,198,1,3,Guard,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,grayson_allen,2018,2019,Y,Y,Y,2018,1,21
