,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,40,55,46,46,47,44,50,50,48,49
1,HOU,45,47,46,49,48,49,44,45,48,50
2,OKC,51,52,53,54,53,56,57,59,50,56
3,CLE,16,13,13,24,16,14,18,10,16,13
4,WAS,34,34,36,36,42,40,35,29,39,40
5,TOR,51,47,46,56,53,53,58,56,56,55
6,MIL,68,65,65,62,56,64,61,63,54,63
7,LAC,37,36,43,50,42,44,41,39,38,41
8,PHI,56,59,51,56,58,52,64,57,59,52
9,DET,39,36,39,30,34,31,29,36,33,34
10,NOP,53,46,44,47,44,55,49,50,52,41
11,NYK,28,28,37,29,21,29,36,29,27,32
12,MIN,47,43,34,42,39,41,40,47,42,44
13,MEM,32,21,18,22,30,24,25,27,17,24
14,BKN,42,36,44,31,46,37,32,34,34,39
15,PHX,38,33,32,31,42,37,33,36,36,29
16,MIA,36,41,31,38,34,30,40,33,33,40
17,SAC,55,47,52,43,56,49,48,46,53,54
18,CHI,21,18,20,26,20,18,16,28,20,24
19,IND,45,43,50,48,37,53,41,41,44,49
20,DEN,44,41,45,50,50,45,48,41,47,42
21,ORL,28,41,37,37,29,34,29,27,33,38
22,GSW,36,34,37,28,34,29,32,32,35,35
23,BOS,56,58,54,57,51,57,54,56,61,45
24,UTA,41,56,52,52,45,46,52,44,60,48
25,DAL,15,30,18,19,21,24,23,26,21,22
26,POR,55,53,61,50,56,52,60,61,55,54
27,LAL,37,35,45,41,40,39,33,43,36,41
28,SAS,44,44,39,39,44,40,37,43,36,41
29,ATL,40,38,42,37,42,44,45,42,47,35
