,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,50,54,44,46,49,48,51,51,46,46
1,HOU,46,43,44,43,41,49,44,46,51,38
2,OKC,52,56,58,57,59,55,52,55,56,56
3,CLE,15,11,22,16,16,21,23,25,16,11
4,WAS,39,30,37,31,31,31,29,29,42,31
5,TOR,48,51,55,48,51,54,58,47,57,59
6,MIL,66,61,64,65,72,65,60,63,64,65
7,LAC,41,35,37,36,36,32,40,27,38,27
8,PHI,39,40,41,43,40,42,47,44,40,47
9,DET,39,33,32,36,35,34,35,35,36,40
10,NOP,51,45,50,48,43,46,51,43,44,38
11,NYK,33,42,32,29,37,32,32,31,27,25
12,MIN,43,41,45,37,48,42,42,47,39,42
13,MEM,20,28,23,23,20,24,28,24,23,31
14,BKN,37,35,39,36,44,35,38,39,45,36
15,PHX,41,31,42,33,43,35,31,34,26,35
16,MIA,30,40,34,35,32,35,34,32,39,45
17,SAC,47,51,48,51,44,58,47,54,59,57
18,CHI,22,21,14,21,20,18,19,20,23,18
19,IND,47,43,45,46,47,44,51,47,43,39
20,DEN,41,40,39,54,48,42,44,52,47,49
21,ORL,25,36,42,39,34,37,39,36,29,40
22,GSW,60,51,55,59,46,59,44,55,54,53
23,BOS,52,49,54,60,59,63,51,49,56,59
24,UTA,56,52,50,47,48,42,48,53,47,46
25,DAL,21,26,14,16,25,22,25,18,14,28
26,POR,53,52,52,49,49,58,51,53,52,52
27,LAL,34,42,40,42,35,32,37,37,37,34
28,SAS,37,45,42,42,38,37,38,42,38,44
29,ATL,45,46,36,42,40,38,41,42,42,39
