,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,51,43,51,48,44,55,55,51,57,45
1,HOU,41,59,43,46,48,48,50,45,48,50
2,OKC,37,28,40,31,31,29,34,26,26,31
3,CLE,12,15,16,17,12,11,11,18,18,17
4,WAS,37,35,34,45,34,39,42,30,43,43
5,TOR,50,53,54,54,48,56,48,51,49,53
6,MIL,73,63,60,66,73,60,65,67,68,66
7,LAC,33,44,30,37,38,33,41,41,36,33
8,PHI,50,63,59,51,59,57,63,53,54,62
9,DET,34,32,38,37,40,34,34,42,30,29
10,NOP,45,39,50,46,45,47,48,54,48,48
11,NYK,36,27,32,31,33,31,34,35,31,28
12,MIN,49,40,40,51,41,47,48,45,45,46
13,MEM,27,22,26,24,28,17,23,24,25,18
14,BKN,34,33,35,38,41,34,31,35,38,28
15,PHX,36,33,41,27,38,43,27,36,28,36
16,MIA,35,34,37,38,40,37,39,28,30,43
17,SAC,51,50,61,48,56,58,51,53,51,52
18,CHI,19,18,16,19,19,15,19,26,14,25
19,IND,46,46,40,52,41,41,46,39,44,47
20,DEN,51,48,45,47,50,50,43,44,50,52
21,ORL,35,39,36,35,35,38,31,42,36,33
22,GSW,54,56,45,45,48,47,47,53,52,51
23,BOS,55,57,67,55,55,57,61,54,58,47
24,UTA,37,56,48,50,50,49,49,52,42,51
25,DAL,21,20,17,22,19,19,16,20,20,23
26,POR,49,54,55,51,46,51,52,55,58,51
27,LAL,46,40,32,42,38,37,37,38,44,38
28,SAS,47,40,36,43,38,44,39,36,43,41
29,ATL,39,43,46,34,42,46,46,37,44,43
