,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,49,47,49,54,54,50,42,50,48,47
1,HOU,46,45,53,43,47,44,48,37,46,50
2,OKC,63,53,55,57,56,57,59,55,53,57
3,CLE,19,11,12,13,14,17,17,17,15,13
4,WAS,38,39,42,31,21,36,41,37,43,38
5,TOR,54,55,58,54,53,49,53,56,47,53
6,MIL,45,48,43,47,42,43,45,46,49,45
7,LAC,38,36,31,33,41,36,37,36,40,39
8,PHI,57,49,59,57,59,50,51,53,59,63
9,DET,43,34,36,34,34,31,34,40,30,24
10,NOP,48,47,55,50,35,48,59,49,41,47
11,NYK,27,38,25,27,26,34,26,26,27,29
12,MIN,38,45,42,38,54,39,37,44,38,47
13,MEM,32,23,27,25,21,20,21,27,19,26
14,BKN,37,36,28,40,33,50,32,41,38,39
15,PHX,36,42,39,38,36,36,32,34,37,35
16,MIA,35,40,37,34,31,39,42,30,39,43
17,SAC,49,44,51,49,54,61,57,49,45,52
18,CHI,18,19,25,17,19,16,22,18,21,18
19,IND,39,48,45,47,46,51,42,49,47,46
20,DEN,44,53,48,45,51,46,54,53,48,48
21,ORL,29,24,29,36,42,32,43,48,36,33
22,GSW,48,46,55,50,51,46,47,49,50,48
23,BOS,58,58,49,58,56,58,57,54,56,49
24,UTA,44,47,32,43,55,43,51,45,52,44
25,DAL,24,17,26,28,19,18,11,15,30,23
26,POR,50,50,53,55,59,55,49,54,59,47
27,LAL,37,38,37,43,39,44,36,30,32,39
28,SAS,44,57,40,42,42,46,40,38,37,46
29,ATL,41,41,49,42,40,35,45,50,48,42
