,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,50,55,41,45,49,49,51,46,48,52
1,HOU,53,43,39,38,46,50,42,46,45,55
2,OKC,62,60,63,56,57,55,58,56,58,51
3,CLE,20,15,13,21,15,15,15,21,13,10
4,WAS,31,28,32,34,36,33,39,33,35,41
5,TOR,45,54,56,57,55,53,53,54,46,63
6,MIL,61,64,69,71,70,66,67,63,71,57
7,LAC,36,44,37,42,37,38,35,39,33,41
8,PHI,62,60,57,56,53,57,61,55,51,61
9,DET,36,32,35,30,36,31,47,37,33,41
10,NOP,48,48,46,47,43,54,39,54,53,50
11,NYK,29,38,34,29,40,32,28,27,45,26
12,MIN,44,49,45,41,41,47,42,51,43,40
13,MEM,25,20,26,23,21,29,20,18,27,22
14,BKN,31,38,37,35,35,38,33,38,34,34
15,PHX,32,37,39,40,39,31,37,40,34,43
16,MIA,38,32,34,34,41,34,34,35,36,32
17,SAC,44,52,60,62,50,47,52,53,59,48
18,CHI,18,24,22,22,22,20,17,22,20,22
19,IND,45,38,41,43,45,46,42,46,45,44
20,DEN,47,41,46,50,49,47,44,45,40,49
21,ORL,43,32,35,29,28,33,37,33,33,35
22,GSW,48,52,52,43,51,45,49,48,50,44
23,BOS,55,56,55,60,54,53,56,47,50,50
24,UTA,22,32,21,29,23,28,29,31,28,28
25,DAL,27,17,22,17,19,24,24,21,23,28
26,POR,56,55,58,58,58,59,53,50,50,53
27,LAL,40,40,36,41,32,28,42,37,35,36
28,SAS,42,39,46,40,41,44,45,49,48,35
29,ATL,40,35,33,37,44,44,39,35,44,39
