,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,51,45,60,57,47,48,53,51,40,45
1,HOU,20,23,19,21,23,27,22,27,20,25
2,OKC,52,53,54,55,59,57,55,63,59,55
3,CLE,16,19,16,23,17,14,24,11,17,24
4,WAS,36,43,38,33,37,47,28,36,37,36
5,TOR,57,54,53,49,56,60,49,50,56,50
6,MIL,62,66,63,66,70,61,71,60,64,62
7,LAC,36,29,42,40,41,39,35,41,31,39
8,PHI,56,59,54,62,58,54,51,52,55,54
9,DET,27,34,38,27,32,34,37,35,32,36
10,NOP,55,52,49,48,44,43,50,44,49,43
11,NYK,24,29,35,31,37,26,29,27,40,33
12,MIN,46,39,39,43,40,44,44,43,47,49
13,MEM,26,27,24,28,17,24,22,24,23,30
14,BKN,41,41,40,47,40,35,38,34,42,38
15,PHX,33,34,30,35,31,35,36,40,37,31
16,MIA,32,46,46,30,30,28,36,44,32,32
17,SAC,58,58,55,57,55,50,53,46,50,51
18,CHI,18,21,15,15,17,26,22,20,20,22
19,IND,53,40,47,47,38,48,42,48,41,46
20,DEN,50,42,45,43,44,42,52,47,46,56
21,ORL,33,31,33,33,41,37,32,36,32,32
22,GSW,53,55,49,47,55,53,50,60,54,52
23,BOS,60,52,50,56,56,51,49,53,55,50
24,UTA,48,49,47,43,47,54,53,52,49,50
25,DAL,16,29,17,21,20,25,22,15,16,19
26,POR,53,54,59,54,55,53,44,54,54,57
27,LAL,32,33,42,38,43,40,46,28,45,34
28,SAS,43,35,33,34,47,39,49,42,48,39
29,ATL,43,38,38,47,33,36,36,47,39,40
