,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,45,48,51,47,56,44,51,58,48,57
1,HOU,45,47,48,52,51,49,42,43,52,51
2,OKC,60,54,45,63,67,55,56,56,57,55
3,CLE,17,12,24,11,20,11,14,13,19,17
4,WAS,30,31,31,28,37,37,33,30,33,33
5,TOR,59,50,54,56,54,56,50,52,51,53
6,MIL,65,65,65,64,62,60,73,66,64,70
7,LAC,38,38,42,43,44,39,37,39,40,39
8,PHI,52,57,57,52,57,59,58,55,49,57
9,DET,39,35,37,32,39,38,27,36,35,30
10,NOP,56,51,50,48,49,49,44,42,45,48
11,NYK,28,32,27,27,35,33,32,34,35,31
12,MIN,41,46,42,34,31,35,49,40,41,41
13,MEM,26,26,24,22,20,26,19,27,24,22
14,BKN,35,45,36,36,42,37,29,38,35,41
15,PHX,37,32,38,30,25,42,36,37,36,36
16,MIA,33,38,31,40,38,33,37,38,37,39
17,SAC,48,55,51,56,56,51,50,52,54,46
18,CHI,21,15,19,18,15,26,18,22,20,14
19,IND,47,39,46,50,47,40,43,43,36,48
20,DEN,20,24,27,17,28,28,26,26,28,26
21,ORL,41,38,41,35,33,34,45,35,35,24
22,GSW,43,53,58,48,48,52,53,48,50,50
23,BOS,51,48,52,55,49,48,52,55,55,59
24,UTA,47,49,49,48,41,50,46,50,46,47
25,DAL,30,19,15,29,18,22,31,26,26,20
26,POR,55,56,56,63,50,49,54,53,53,62
27,LAL,36,39,41,43,36,39,38,39,40,39
28,SAS,46,45,35,40,46,43,49,38,38,44
29,ATL,39,43,38,43,36,45,38,39,48,31
