,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,51,50,46,46,53,43,51,49,54,56
1,HOU,41,56,45,48,53,49,53,50,45,50
2,OKC,65,52,57,54,61,58,55,60,53,58
3,CLE,19,17,9,17,16,20,23,18,11,14
4,WAS,34,33,43,31,30,37,30,38,34,31
5,TOR,31,38,29,42,36,33,37,33,43,29
6,MIL,57,65,71,58,66,74,64,65,65,72
7,LAC,35,34,37,40,33,40,36,36,40,36
8,PHI,62,61,58,63,54,56,54,57,63,53
9,DET,39,25,37,35,36,36,44,39,36,37
10,NOP,47,44,45,51,47,50,47,40,48,47
11,NYK,34,36,30,31,26,37,25,30,25,30
12,MIN,41,42,42,37,48,39,45,39,47,43
13,MEM,21,24,23,24,25,31,24,27,26,30
14,BKN,27,28,32,32,38,31,39,35,37,38
15,PHX,33,36,36,34,34,35,42,40,36,30
16,MIA,41,41,33,45,32,44,39,36,34,39
17,SAC,50,55,60,52,52,49,50,55,44,49
18,CHI,21,19,19,18,20,13,12,20,24,21
19,IND,49,39,39,47,49,45,44,51,45,41
20,DEN,51,42,51,47,43,42,42,42,48,48
21,ORL,39,40,36,29,37,35,34,32,30,30
22,GSW,52,44,40,54,49,46,48,56,55,48
23,BOS,58,55,65,61,49,56,54,49,59,55
24,UTA,36,50,49,49,42,48,43,41,49,50
25,DAL,21,25,20,23,23,16,23,27,14,20
26,POR,57,54,49,45,60,60,49,53,48,51
27,LAL,36,45,37,37,37,42,43,33,37,37
28,SAS,42,35,47,39,42,34,45,38,42,48
29,ATL,40,45,45,41,39,31,35,41,38,39
