,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,46,48,44,49,47,42,51,55,40,47
1,HOU,48,47,48,43,43,40,50,44,46,41
2,OKC,59,55,53,52,53,58,49,50,56,52
3,CLE,18,16,17,16,16,13,11,18,16,21
4,WAS,29,29,39,36,31,38,39,39,38,34
5,TOR,53,50,53,55,59,51,56,46,56,57
6,MIL,64,67,71,59,59,57,63,61,59,58
7,LAC,40,38,35,42,33,34,45,38,40,35
8,PHI,59,62,58,54,55,59,60,58,54,63
9,DET,36,32,39,32,33,37,33,36,28,36
10,NOP,44,41,54,47,43,50,44,42,47,50
11,NYK,27,24,28,29,30,30,43,24,33,39
12,MIN,49,49,43,53,49,46,42,46,51,42
13,MEM,23,29,27,22,36,21,20,32,16,21
14,BKN,39,36,35,30,39,35,43,35,37,32
15,PHX,34,30,28,27,29,33,31,38,44,33
16,MIA,33,36,40,40,34,39,34,36,40,37
17,SAC,54,58,59,60,51,51,50,48,59,57
18,CHI,10,22,24,20,19,17,21,12,19,20
19,IND,44,47,36,44,52,47,44,44,51,52
20,DEN,48,54,45,47,38,47,48,44,45,51
21,ORL,42,33,43,29,36,44,33,43,35,34
22,GSW,53,48,55,53,61,55,48,55,48,48
23,BOS,51,56,55,54,63,58,51,55,57,52
24,UTA,51,50,40,47,46,47,48,52,41,54
25,DAL,26,23,19,26,19,19,19,21,25,18
26,POR,30,35,37,37,31,35,38,33,35,24
27,LAL,40,30,31,41,35,47,41,35,33,33
28,SAS,38,43,32,42,44,41,40,53,36,49
29,ATL,42,42,42,44,46,39,35,37,45,40
