,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,50,52,50,53,48,52,52,46,49,50,52,50,48,54,52,48,43,50,56,45,46,57,48,49,54,51,57,44,53,57,50,47,47,48,51,58,51,44,49,51,54,57,50,43,46,51,51,43,48,54,36,51,52,51,48,49,52,55,52,49,48,45,44,41,49,46,47,47,46,55,51,43,49,46,49,42,54,57,46,43,51,48,49,55,52,46,51,56,53,51,53,55,49,51,41,53,46,54,42,41
1,HOU,50,48,56,52,44,45,51,41,48,42,49,43,39,48,43,44,45,41,47,46,43,41,47,39,38,48,47,49,49,47,50,49,47,37,45,41,41,36,58,39,45,45,45,46,45,48,39,40,45,44,38,47,39,41,43,47,42,51,51,48,45,49,41,43,53,38,47,41,49,45,41,45,38,53,42,44,48,48,37,47,41,47,48,47,45,46,50,45,47,47,42,42,49,44,50,38,43,41,38,46
2,OKC,55,54,56,56,50,56,52,57,59,62,52,55,62,61,56,53,50,57,56,59,56,56,53,53,57,48,49,51,53,51,56,59,55,53,48,51,49,62,51,56,58,56,59,64,53,59,57,51,64,54,50,51,53,50,53,54,53,63,54,51,53,47,53,53,50,58,58,52,55,59,58,60,50,54,64,57,51,56,52,58,53,58,53,56,55,59,57,48,52,48,56,48,62,54,58,53,56,67,59,49
3,CLE,26,15,17,16,15,13,21,17,16,21,17,12,21,12,13,20,16,18,18,18,15,25,16,20,10,22,14,17,17,14,8,11,8,16,12,11,13,22,16,16,16,17,11,15,15,17,16,15,15,16,18,19,15,22,21,14,24,16,19,14,15,12,18,22,12,17,21,10,14,8,17,14,17,16,11,19,20,15,19,16,13,20,13,14,19,14,12,15,12,14,18,13,10,16,14,15,14,14,19,15
4,WAS,33,39,32,37,34,41,36,35,37,42,46,31,32,31,34,35,32,35,30,34,35,30,33,32,26,26,42,26,30,38,35,34,37,41,32,35,40,33,34,31,37,36,36,34,28,38,43,42,39,31,39,31,33,35,44,33,31,30,37,36,33,35,37,29,30,28,27,33,30,33,38,37,34,41,31,32,36,27,36,33,33,39,34,39,40,37,37,36,37,28,33,37,39,35,31,38,37,29,28,31
5,TOR,45,46,47,52,51,48,49,52,57,45,52,49,58,45,46,48,61,53,44,47,48,61,47,51,54,57,45,49,50,48,52,52,51,47,50,50,58,49,53,55,50,44,42,46,48,55,57,57,58,49,48,53,52,58,48,55,49,51,47,49,58,51,53,63,46,55,53,52,54,46,53,51,49,57,50,50,57,47,46,54,48,52,51,49,51,46,53,46,45,52,54,59,48,48,57,50,54,60,47,50
6,MIL,67,68,62,68,62,64,65,69,65,58,60,63,65,69,66,62,62,65,65,69,63,57,59,65,61,68,65,62,65,66,66,65,60,67,64,62,65,68,66,64,63,57,61,68,60,58,62,63,64,64,63,67,65,68,65,63,57,66,60,67,55,71,60,58,63,70,70,65,65,65,61,64,67,60,60,51,65,56,63,61,64,57,59,66,67,69,64,65,66,66,65,58,62,68,67,65,70,66,63,69
7,LAC,34,34,38,32,34,34,40,43,38,33,33,37,38,40,39,37,36,37,31,34,30,30,37,39,34,35,47,35,33,29,31,34,42,38,37,37,45,43,38,39,36,42,44,40,39,36,36,32,37,37,32,41,34,33,34,35,39,41,40,42,38,33,26,36,36,36,38,38,43,42,31,38,37,43,33,30,37,36,36,45,36,29,36,29,35,36,37,41,31,31,43,30,41,43,36,36,32,31,35,42
8,PHI,61,56,56,51,53,58,58,43,55,60,52,55,53,52,57,58,53,50,57,57,51,64,55,61,59,61,58,63,55,55,57,56,54,54,54,55,48,57,59,47,53,60,55,59,62,52,63,53,51,57,57,57,60,62,56,59,61,62,58,61,56,61,57,55,56,62,61,56,57,58,51,60,52,62,55,54,54,51,56,58,48,56,58,55,62,60,56,56,60,59,57,53,62,61,49,53,49,51,57,57
9,DET,33,31,38,31,36,41,30,30,27,33,37,37,37,31,34,34,38,28,30,33,29,24,31,29,35,35,31,30,35,30,34,31,38,28,38,40,33,33,33,35,34,38,39,30,33,27,38,42,30,37,29,36,30,33,32,37,27,42,36,33,37,41,37,37,30,31,28,35,33,34,35,31,27,33,27,28,29,41,39,32,30,29,31,38,36,31,36,40,26,33,40,32,29,36,36,27,33,33,34,29
